english	mandarin
SUNGEI KADUT DRIVE	双溪加株通道
SUNGEI KADUT LANE	双溪加株巷
SUNGEI KADUT LOOP	双溪加株环道
SUNGEI KADUT STREET 1	双溪加株1街
SUNGEI KADUT STREET 2	双溪加株2街
SUNGEI KADUT STREET 3	双溪加株3街
SUNGEI KADUT STREET 4	双溪加株4街
SUNGEI KADUT STREET 5	双溪加株5街
SUNGEI KADUT STREET 6	双溪加株6街
SUNGEI KADUT WAY	双溪加株大道
SUNGEI PANDAN BRIDGE	双溪班丹桥
SUNGEI ROAD	双溪路 (俗称港仔乾)
SUNGEI TENGAH ROAD	双溪登雅路
SUNRISE AVENUE	朝阳道
SUNRISE CLOSE	朝阳弄
SUNRISE DRIVE	朝阳通道
SUNRISE LANE	朝阳巷
SUNRISE PLACE	朝阳坊
SUNRISE TERRACE	朝阳台
SUNRISE WALK	朝阳径
SUNRISE WAY	朝阳大道
SUNSET AVENUE	斜阳道
SUNSET CLOSE	斜阳弄
SUNSET CRESCENT	斜阳弯
SUNSET DRIVE	斜阳通道
SUNSET GROVE	斜阳林
SUNSET HEIGHTS	斜阳岭
SUNSET LANE	斜阳巷
SUNSET PLACE	斜阳坊
SUNSET SQUARE	斜阳广场
SUNSET TERRACE	斜阳台
SUNSET VALE	斜阳谷
SUNSET VIEW	斜阳景
SUNSET WALK	斜阳径
SUNSET WAY	斜阳大道
SUNSHINE TERRACE	日光台
SUNVIEW DRIVE	阳景通道
SUNVIEW ROAD	阳景路
SUNVIEW WAY	阳景大道
Super Puma Helicopter	超级美洲豹直升机
Supervisory control and data acquisition (SCADA)	监控与数据采集
Supplemental Agreement (SA)	附属租赁协议
Supplemental Lease	附属地契
Supplementary Award	补充赔额/附加赔偿裁决(额)
Supplementary Estimates	补充预算
Supplementary Retirement Scheme	退休辅助计划
Supply Bill	拨款法案
Supply Chain Management Centre of Innovation (SCM COI)	供应链管理创新中心
Support towers	塔架
Supporter	附议者
Supporter of Heritage	文化遗产支持者奖
Supreme Court (SUPCOURT)	最高法院
SUPREME COURT LANE	最高法院巷
Supreme Court of Judicature Act	最高法院法令
SURIN AVENUE	树林道
SURIN LANE	树林巷
SURIN ROAD	树林路
Surrender and Reissue of Titles	交出和补发地契
SURREY ROAD	萨立路
Survey Plan	土地测量图
Surveyed Land Area	经测量的面积
Surviving the Japanese Occupation: War and its Legacies	日据时期: 战争与史迹
Suspension of Member	中止议员资格
Suspension of Sitting	中止会议
SUSSEX GARDEN	塞硕斯花园
Sustainable Construction	可持续性建筑
Sustainable Construction Capability Development Fund	可持续性建筑技能提升基金
Sustainable Hawker Trade	小贩行业 代代相传
Sustainable Singapore Blueprint	永续新加坡发展蓝图
Sustainable Singapore Gallery	新加坡资源永续展览馆
Sustained Achievement Award (SAA)	持恒成就奖
Sustenance Items	必备品
SWAN LAKE AVENUE	天鹅湖道
SWANAGE ROAD	士温纳路
SWETTENHAM CLOSE	瑞登翰弄
SWETTENHAM GREEN	瑞登翰埔
SWETTENHAM ROAD	瑞登翰路
SwimSafer programme	安全游泳课程
Swing Singapore	“舞吧，新加坡”街头派对
SWISS CLUB AVENUE	瑞士俱乐部道
SWISS CLUB LANE	瑞士俱乐部巷
SWISS CLUB LINK	瑞士俱乐部连路
SWISS CLUB ROAD	瑞士俱乐部路
SWISS COTTAGE ESTATE	瑞士小屋村
SWISS VIEW	瑞士景
Syariah Court	回教婚事法庭
SYED ALWI BRIDGE	赛阿威桥
SYED ALWI ROAD	赛阿威路 (俗称松林板廊)
Sylvia Lim	林瑞莲
SYNAGOGUE STREET	新那阁街 (俗称玻璃后)
T1 ARRIVAL CRESCENT	第一搭客大厦抵境弯
T1 BASEMENT DRIVE	第一搭客大厦地下通道
T1 BOULEVARD	第一搭客大厦林荫道
T1 DEPARTURE CRESCENT	第一搭客大厦离境弯
T1 LINK EAST	第一搭客大厦东连路
T1 LINK WEST	第一搭客大厦西连路
T1 PASSENGER CRESCENT	第一搭客大厦搭客弯
T2 ARRIVAL DRIVE	第二搭客大厦抵境通道
T2 BASEMENT DRIVE	第二搭客大厦地下通道
T2 BOULEVARD	第二搭客大厦林荫道
T2 DEPARTURE DRIVE	第二搭客大厦离境通道
T2 LINK NORTH	第二搭客大厦北连路
T2 LINK SOUTH	第二搭客大厦南连路
T2 VIP DRIVE	第二搭客大厦贵宾通道
T3 ARRIVAL DRIVE	第三搭客大厦抵境通道
T3 BASEMENT DRIVE	第三搭客大厦地下通道
T3 DEPARTURE DRIVE	第三搭客大厦离境通道
T3 LINK NORTH	第三搭客大厦北连路
T3 LINK SOUTH	第三搭客大厦南连路
T4 ARRIVAL DRIVE	第四搭客大厦抵境通道
T4 BOULEVARD	第四搭客大厦林荫道
T4 CRESCENT	第四搭客大厦弯
T4 DEPARTURE DRIVE	第四搭客大厦离境通道
T4 FLYOVER	第四搭客大厦立交桥
T4 LINK	第四搭客大厦连路
T4 UNDERPASS	第四搭客大厦地下车道
T4 WAY	第四搭客大厦大道
Table of the House	议事桌
Table-Top Exercise (TTX)	桌面摸拟演习
TAGORE AVENUE	太戈尔道
TAGORE DRIVE	太戈尔通道
TAGORE INDUSTRIAL AVENUE	大戈尔工业道
TAGORE LANE	太戈尔巷
TAGORE ROAD	太戈尔路
TAH CHING ROAD	塔景路
TAI GIN ROAD	大人路
Tai Guan Ong See Association	太原王氏公会
TAI HWAN AVENUE	大苑道
TAI HWAN CLOSE	大苑弄
TAI HWAN CRESCENT	大苑弯
TAI HWAN DRIVE	大苑通道
TAI HWAN GROVE	大苑林
TAI HWAN HEIGHTS	大苑岭
TAI HWAN LANE	大苑巷
TAI HWAN PLACE	大苑坊
TAI HWAN TERRACE	大苑台
TAI HWAN WALK	大苑径
TAI KENG AVENUE	大庆道
TAI KENG GARDENS	大庆花园
TAI KENG LANE	大庆巷
TAI KENG PLACE	大庆坊
TAI KENG TERRACE	大庆台
TAI SENG AVENUE	大成道
TAI SENG DRIVE	大成通道
TAI SENG LINK	大成连路
Tai Seng MRT Station	大成地铁站
TAI SENG STREET	大成街
TAI THONG CRESCENT	大通弯
TAI YUAN HEIGHTS	泰园岭
Talent Assistance Grant Scheme	人才培训资助计划
Talent Development Fund	联系少年才能培训基金
Talent Management Scheme	人才管理计划
Talent Matching & Development	人才匹配与培育
TALMA ROAD	达马路
TAMAN BEDOK	达曼勿洛
TAMAN HO SWEE	达曼河水
Taman Jurong Community Club	达曼裕廊民众俱乐部
TAMAN KEMBANGAN	达曼景万岸
TAMAN MAS MERAH	达曼马士美拉
TAMAN NAKHODA	达曼那哥达
TAMAN PERMATA	达曼百马达
TAMAN SELAMAT	达曼士拉末
TAMAN SERASI	达曼史拉西
TAMAN SIGLAP	达曼实乞纳
TAMAN SIREH	达曼思礼
TAMAN WARNA	达曼哇那
TAMARIND ROAD	答满林路
Tamil Language Council	淡米尔语言理事会
Tamil Language Festival	淡米尔语文节
Tamil Resource Panel (National Translation Committee)	淡米尔文咨询团(全国翻译委员会)
TAMPINES AVENUE	淡滨尼道
TAMPINES AVENUE 1	淡滨尼1道
TAMPINES AVENUE 10	淡滨尼10道
TAMPINES AVENUE 11	淡滨尼11道
TAMPINES AVENUE 12	淡滨尼12道
TAMPINES AVENUE 2	淡滨尼2道
TAMPINES AVENUE 3	淡滨尼3道
TAMPINES AVENUE 4	淡滨尼4道
TAMPINES AVENUE 5	淡滨尼5道
TAMPINES AVENUE 6	淡滨尼6道
TAMPINES AVENUE 7	淡滨尼7道
TAMPINES AVENUE 8	淡滨尼8道
TAMPINES AVENUE 9	淡滨尼9道
TAMPINES CENTRAL 1	淡滨尼中1路
TAMPINES CENTRAL 2	淡滨尼中2路
TAMPINES CENTRAL 3	淡滨尼中3路
TAMPINES CENTRAL 4	淡滨尼中4路
TAMPINES CENTRAL 5	淡滨尼中5路
TAMPINES CENTRAL 6	淡滨尼中6路
TAMPINES CENTRAL 7	淡滨尼中7路
TAMPINES CENTRAL 8	淡滨尼中8路
Tampines Central Community Club	淡滨尼中民众俱乐部
Tampines Changkat Community Club	淡滨尼尚育民众俱乐部
TAMPINES CONCOURSE	淡滨尼广场
Tampines East Community Club	淡滨尼东民众俱乐部
Tampines East MRT Station	淡滨尼东地铁站
TAMPINES EXPRESSWAY	淡滨尼快速公路
TAMPINES FLYOVER	淡滨尼立交桥
TAMPINES GRANDE	淡滨尼大街
Tampines GRC	淡滨尼集选区
TAMPINES INDUSTRIAL AVENUE 1	淡滨尼工业1道
TAMPINES INDUSTRIAL AVENUE 2	淡滨尼工业2道
TAMPINES INDUSTRIAL AVENUE 3	淡滨尼工业3道
TAMPINES INDUSTRIAL AVENUE 4	淡滨尼工业4道
TAMPINES INDUSTRIAL AVENUE 5	淡滨尼工业5道
TAMPINES INDUSTRIAL CRESCENT	淡滨尼工业弯
TAMPINES INDUSTRIAL DRIVE	淡滨尼工业通道
TAMPINES INDUSTRIAL STREET 61	淡滨尼工业区61街
TAMPINES INDUSTRIAL STREET 62	淡滨尼工业区62街
TAMPINES LANE	淡滨尼巷
TAMPINES LINK	淡滨尼连路
Tampines MRT Station	淡滨尼地铁站
Tampines North Community Club	淡滨尼北民众俱乐部
TAMPINES NORTH DRIVE 1	淡滨尼北1通道
TAMPINES NORTH DRIVE 2	淡滨尼北2通道
TAMPINES NORTH DRIVE 3	淡滨尼北3通道
TAMPINES NORTH DRIVE 4	淡滨尼北4通道
TAMPINES NORTH DRIVE 5	淡滨尼北5通道
TAMPINES PLACE	淡滨尼坊
Tampines Regional Library (TRL)	淡滨尼区域图书馆
TAMPINES ROAD	淡滨尼路
TAMPINES SOUTH FLYOVER	淡滨尼南立交桥
TAMPINES STREET 11	淡滨尼11街
TAMPINES STREET 12	淡滨尼12街
TAMPINES STREET 21	淡滨尼21街
TAMPINES STREET 22	淡滨尼22街
TAMPINES STREET 23	淡滨尼23街
TAMPINES STREET 24	淡滨尼24街
TAMPINES STREET 31	淡滨尼31街
TAMPINES STREET 32	淡滨尼32街
TAMPINES STREET 33	淡滨尼33街
TAMPINES STREET 34	淡滨尼34街
TAMPINES STREET 41	淡滨尼41街
TAMPINES STREET 42	淡滨尼42街
TAMPINES STREET 43	淡滨尼43街
TAMPINES STREET 44	淡滨尼44街
TAMPINES STREET 45	淡滨尼45街
TAMPINES STREET 61	淡滨尼61街
TAMPINES STREET 62	淡滨尼62街
TAMPINES STREET 63	淡滨尼63街
TAMPINES STREET 64	淡滨尼64街
TAMPINES STREET 71	淡滨尼71街
TAMPINES STREET 72	淡滨尼72街
TAMPINES STREET 73	淡滨尼73街
TAMPINES STREET 81	淡滨尼81街
TAMPINES STREET 82	淡滨尼82街
TAMPINES STREET 83	淡滨尼83街
TAMPINES STREET 84	淡滨尼84街
TAMPINES STREET 85	淡滨尼85街
TAMPINES STREET 86	淡滨尼86街
TAMPINES STREET 91	淡滨尼91街
TAMPINES STREET 92	淡滨尼92街
TAMPINES STREET 93	淡滨尼93街
TAMPINES STREET 94	淡滨尼94街
TAMPINES STREET 95	淡滨尼95街
TAMPINES STREET 96	淡滨尼96街
TAMPINES VIADUCT	淡滨尼高架桥
TAMPINES WALK	淡滨尼径
Tampines West Community Club	淡滨尼西民众俱乐部
Tampines West MRT Station	淡滨尼西地铁站
TAN BOON CHONG AVENUE	陈文宗道
Tan Chuan-Jin	陈川仁
TAN KAH KEE DRIVE	陈嘉庚通道
Tan Kah Kee MRT Station	陈嘉庚地铁站
TAN KIM CHENG ROAD	陈金钟路
TAN QUEE LAN STREET	陈桂兰街 (俗称桂兰巷)
TAN SIM BOH ROAD	陈森茂路
TAN TOCK SENG LINK	陈笃生连路
TAN TYE PLACE	陈泰坊
TANAH MERAH BESAR LANE	丹那美拉勿刹巷
TANAH MERAH BESAR ROAD	丹那美拉勿刹路
TANAH MERAH COAST ROAD	丹那美拉海岸路
TANAH MERAH FERRY ROAD	丹那美拉渡轮路
Tanah Merah Ferry Terminal	丹那美拉渡轮码头
TANAH MERAH FLYOVER	丹那美拉立交桥
TANAH MERAH KECHIL AVENUE	丹那美拉克基道
TANAH MERAH KECHIL LINK	丹那美拉克基连路
TANAH MERAH KECHIL RIDGE	丹那美拉克基岗
TANAH MERAH KECHIL RISE	丹那美拉克基坡
TANAH MERAH KECHIL ROAD	丹那美拉克基路
TANAH MERAH KECHIL ROAD SOUTH	丹那美拉克基南路
Tanah Merah MRT Station	丹那美拉地铁站
Tanah Merah Prison (Prison School)	丹那美拉监狱(监狱学校)
Tang Clan Association	董氏公会
Tanglin Community Club	东陵民众俱乐部
TANGLIN HALT CLOSE	东陵福弄
TANGLIN HALT ROAD	东陵福路
TANGLIN HEIGHTS	东陵岭
Tanglin Heng Jow Tang Yeo Wee	东陵琼崖同乡会
TANGLIN HILL	东陵山
TANGLIN RISE	东陵坡
TANGLIN ROAD	东陵路
TANGLIN WALK	东陵径
TANJONG BEACH WALK	丹戎滨径
TANJONG KATONG FLYOVER	丹戎加东立交桥
TANJONG KATONG ROAD	丹戎加东路
TANJONG KATONG ROAD SOUTH	丹戎加东南路
TANJONG KLING ROAD	丹戎吉宁路
Tanjong Pagar Community Club	丹戎巴葛民众俱乐部
Tanjong Pagar GRC	丹戎巴葛集选区
Tanjong Pagar MRT Station	丹戎巴葛地铁站
TANJONG PAGAR PLAZA	丹戎巴葛广场
TANJONG PAGAR ROAD	丹戎巴葛路
Tanjong Pagar Terminal	丹戎巴葛码头
TANJONG PAGAR TERMINAL AVENUE	丹戎巴葛终站道
TANJONG PAGAR TERMINAL ROAD A	丹戎巴葛终站A路
TANJONG PAGAR TERMINAL ROAD B	丹戎巴葛终站B路
TANJONG PAGAR TERMINAL ROAD C	丹戎巴葛终站C路
TANJONG PAGAR TERMINAL ROAD E	丹戎巴葛终站E路
TANJONG PAGAR TERMINAL ROAD F	丹戎巴葛终站F路
TANJONG PAGAR TERMINAL ROAD G	丹戎巴葛终站G路
TANJONG PAGAR TERMINAL ROAD J	丹戎巴葛终站J路
TANJONG PAGAR TERMINAL STREET 1	丹戎巴葛终站1街
TANJONG PAGAR TERMINAL STREET 2	丹戎巴葛终站2街
TANJONG PAGAR TERMINAL STREET 3	丹戎巴葛终站3街
TANJONG PAGAR TERMINAL STREET 4	丹戎巴葛终站4街
TANJONG PAGAR TERMINAL STREET 5	丹戎巴葛终站5街
TANJONG PENJURU	丹戎本茱鲁
TANJONG PENJURU CRESCENT	丹戎本茱鲁弯
TANJONG RHU BRIDGE	丹戎禺桥
TANJONG RHU FLYOVER	丹戎禺立交桥
TANJONG RHU LANE	丹戎禺巷
TANJONG RHU PLACE	丹戎禺坊
TANJONG RHU ROAD	丹戎禺路
TANJONG RHU VIEW	丹戎禺景
TANK ROAD	登路
TANNERY LANE	登纳利巷
TANNERY ROAD	登纳利路
TAO CHING ROAD	岛景路
TASMANIA ROAD	塔斯马尼亚路
Tasty Singapore Food Aisle	食尚新加坡食品走道
Tasty Singapore Food Product Centre	食尚新加坡食品中心
Tattoo Stickers	刺青贴纸
TAVISTOCK AVENUE	达维士笃道
Tax Academy of Singapore	新加坡税务学院
Tax Allowance Scheme	收入免税计划
Tax clearance	税务预查
Tax concession	税务优惠
Tax Exemption	税务豁免
Tax Exemption for Start-ups	起步公司税务豁免
Tax rebate	税务回扣
Tax reference no.	税务编号
Tax relief	税务扣除
Tax resident	纳税居民
Tax savings	节省税款
Taxable Income	缴税收入/征税入息
Taxi Availability Framework	德士服务供给标准框架
Taxi Customer Satisfaction Survey	德士乘客满意度调查
Taxi Driver Vocational Licence	德士司机职业驾照
Taxi Subsidy Scheme	德士费津贴计划
Taxpayer services	纳税人服务
TAY LIAN TECK DRIVE	郑连德通道
TAY LIAN TECK ROAD	郑连德路
TEACH Framework	教师专业与个人发展架构
Teacher Growth Model	教师成长模式
Teachers' Creed	教师信条
Teaching Award	教学奖学金
Teaching for Understanding (TfU)	为理解而教学
Teaching Track	专业教师发展路线
Teaching-Through-The-Arts Programme	透过艺术教学计划
TEAKWOOD GROVE	柚木林
Team-based care	医疗团队护理
TEBAN FLYOVER	德曼立交桥
TEBAN GARDENS CRESCENT	德曼花园弯
TEBAN GARDENS ROAD	德曼花园路
TEBING LANE	河滨巷
TEBING WALK	河滨径
Tech Access Initiative	科技共享计划
Tech Associates Programme	未来科技专才培育计划
TECH CONNECT #ShowMeHow	科技联系站 #让我来帮您
Tech Immersion and Placement Programme	科技密集培训及入职计划
TECH PARK CRESCENT	科技园弯
Technical Committee	技术委员会
Technical Reference	技术参考守则
Technical Theatre	技术剧场
Technology Adoption Programme (TAP)	科技采纳计划
TECHNOLOGY CRESCENT	工艺弯
TECHNOLOGY DRIVE	科技通道
Technology Enterprise Commercialisation Scheme (TECS)	科技企业商业化规划
Technology Innovation	科技创新
Technology Innovation Programme (TIP)	技术创新方案
Technology Skills Accelerator  (TechSkills Accelerator)	加快培训专才计划（资讯通信业）
TechSkills Accelerator	加快培训专才计划（资讯通信业）
TECK CHYE TERRACE	德财台
Teck Ghee Community Club	德义民众俱乐部
Teck Lee LRT Station	德利轻轨列车站
TECK LIM ROAD	德霖路
TECK WHYE AVENUE	德惠道
TECK WHYE CRESCENT	德惠弯
TECK WHYE LANE	德惠巷
Teck Whye LRT Station	德惠轻轨列车站
TECK WHYE WALK	德惠径
Teens Network Clubs (T-Net Clubs)	联系少年俱乐部
TEKKA LANE	竹脚巷
TELEGRAPH STREET	电报街
TELOK AYER FLYOVER	直落亚逸立交桥
Telok Ayer MRT Station	直落亚逸地铁站
Telok Ayer Performing Arts Centre	直落亚逸表演艺术中心
TELOK AYER STREET	直落亚逸街
Telok Blangah Community Club	直落布兰雅民众俱乐部
TELOK BLANGAH CRESCENT	直落布兰雅弯
TELOK BLANGAH DRIVE	直落布兰雅通道
TELOK BLANGAH GREEN	直落布兰雅埔
TELOK BLANGAH HEIGHTS	直落布兰雅岭
Telok Blangah MRT Station	直落布兰雅地铁站
TELOK BLANGAH RISE	直落布兰雅坡
TELOK BLANGAH ROAD	直落布兰雅路
TELOK BLANGAH STREET 31	直落布兰雅31街
TELOK BLANGAH STREET 32	直落布兰雅32街
TELOK BLANGAH WAY	直落布兰雅大道
TELOK KURAU ROAD	直落古楼路
TELOK PAKU ROAD	直落巴古路
TEMASEK AVENUE	淡马锡道
TEMASEK BOULEVARD	淡马锡林荫道
TEMBELING LANE	登百灵巷
TEMBELING ROAD	登百灵路
TEMBUSU AVENUE	登布树道
TEMBUSU CRESCENT	登布树弯
TEMBUSU DRIVE	登布树通道
TEMBUSU ROAD	登布树路
TEMENGGONG ROAD	天猛公路
TEMPLE STREET	登婆街 (俗称牛车水，戏院后街)
Temporary Employment Credit	短期就业补贴
Temporary Occupation License (TOL)	临时租用准证
Temporary Occupation License Account Numbers	临时租用准证户头号码
Temporary Occupation Permit (TOP)	临时入伙证
Temporary Permission (TP)	临时许可
Temporary Speed Restrictions	临时列车行使速度限制
Ten Mile Junction LRT Station	十里广场轻轨列车站
Tenancy Agreement	租赁协议
Tenanted boundary	出租范围
Tender Approving Authority	投标报价批准委员会
Tender Award	投标结果
Tender Board	投标委员会
Tender Deposit	投标保证金
Tender Document	投标文件
Tender evaluation	（投标）评价
Tender Evaluation Committee (TEC)	投标评估委员会
Tender Launch	公开招标
Tender Notice	招标公告
Tender Opening Period	招标期
Tender Rate	投标率
Tender Results	投标结果
Tender Submission	呈交投标表格
Tender Validity Period	投标有效期
TENG TONG ROAD	庭通路
Tengah Air Base	登加空军基地
TENGAH AVENUE	登加道
TENGAH FLYOVER	登嘉立交桥
Tenure of Office	任期
Teo Ann Huay Kuan	潮安会馆
Teo Ann Kim Sar District Tan Clan Association	潮安金砂陈氏同乡会
Teo Ann Lian Ngee Seah	潮安联谊社
Teo Ann Sian Luck Heo Yeo Clan Society	潮安仙乐乡杨氏同乡会
Teo Ann Sian Tow District Lim Clan Association	潮安仙都林氏同乡会
Teo Chee Hean	张志贤
Teo Chew Kang Hay T'ng	潮州江夏堂
Teo Chew Poit Ip Huay Kuan	新加坡潮州八邑会馆
Teo Chew Sai Ho Association	潮州西河公会
TEO HONG ROAD	赵芳路
TEO KIM ENG ROAD	张金荣路
Teo Ser Luck	张思乐
Teo Yeonh Huai Kuan	潮阳会馆
Teochew International Convention	国际潮团联谊年会
TEOW HOCK AVENUE	朝福道
TERANG BULAN AVENUE	德朗布兰道
Terawatt (TW)	太瓦
TERRASSE LANE	绿水轩巷
Terrex Infantry Carrier Vehicle	泰莱斯轮式装甲运兵车
TESSENSOHN ROAD	德申宋路
TEW CHEW STREET	潮州街
Textile & Apparel Industry	纺织与服饰业
THAM SOONG AVENUE	谭顺道
Thanggam LRT Station	丹甘轻轨列车站
Tharman Shanmugaratnam	尚达曼
The ABCs of Water	洁净所能，水中乐
The All C.A.R.E. Way - refers to using all Channels possible to reach out to residents of all Ages and all Races living in all types of housing Estates, both HDB and private estates.	全方位关怀 - 利用各种管道，联系不同年龄、不同种族以及居住在不同社区（包括政府组屋和私人住宅区）的所有居民
The Apprenticeship Programme	创意学习计划
The Arts House	旧国会大厦艺术之家
The Certificate of Honour	荣誉奖状
The Commendation Medal	表扬奖章
The Commendation Medal (Military)	表扬奖章（军事）
The Conspicuous Gallantry Medal	杰出英勇奖章
The Distinguished Service Order	殊功勋章
The Efficiency Medal	效率奖章
The Float @ Marina Bay	滨海湾浮动舞台
The Frontier Community Club	先锋民众俱乐部
The Fullerton Heritage	富丽敦天地
The Fullerton Waterboat House	富丽敦船屋
The Hainan Tan Clan Association	新加坡海南陈氏公会
The Helix	螺旋桥
The Hing Ann World Congress	世界兴安同乡恳亲大会
THE INGLEWOOD	英格林
The International Association of Fuzhou Corporation	世界福州十邑同乡总会
The International Federation of Chia Clansmen Associations	世界谢氏宗亲总会
The International Federation of Futsing Clan	世界福清同乡联谊会
The International Federation of Hainan Associations	世界海南乡团联谊会
The International Federation of Su Clan Associations	世界苏姓宗亲总会
The International Lai Luo Fu Clansmen Association	世界赖罗傅宗亲总会
The Khek Lim Clan Association	客属林氏公会
THE KNOLLS	诺尔思通道
The Lawn@Marina Bay	滨海湾大草场
The Life Imprisonment Review Board & The President's Pleasure Review Board	终身监禁检讨委员会及总统特赦检讨委员会
The Long Service Medal	长期服务奖章
The Lung Yen Clansmen International Convention	世界龙岩恳亲联谊大会
the marching contingents	游行队伍
The Medal of Honour	荣誉奖章
The Medal of Valour	英勇奖章
The Meritorious Service Medal	功绩奖章
The Meritorious Service Medal (Military)	功绩奖章（军事）
The Nanyang Chew Clan Association	南洋周氏总会
The Nanyang Khek Community Guild	南洋客属总会
The Order of Nila Utama	尼拉乌达玛勋章
The Order of Nila Utama (First Class)	尼拉乌达玛勋章（一级）
The Order of Temasek	淡马锡勋章
The Order of Temasek (First Class)	淡马锡勋章（一级）
THE OVAL	奥哇街
The Pinnacle@Duxton	达士岭
The Promontory@Marina Bay	滨海湾中央岬
The Public Administration Medal (Bronze)	公共行政（铜）奖章
The Public Administration Medal (Bronze) (Bar)	公共行政（铜）奖章（勋条）
The Public Administration Medal (Bronze) (Military)	公共行政（铜）奖章（军事）
The Public Administration Medal (Gold)	公共行政（金）奖章
The Public Administration Medal (Gold) (Bar)	公共行政（金）奖章（勋条）
The Public Administration Medal (Gold) (Military)	公共行政（金）奖章（军事）
The Public Administration Medal (Silver)	公共行政（银）奖章
The Public Administration Medal (Silver) (Bar)	公共行政（银）奖章（勋条）
The Public Administration Medal (Silver) (Military)	公共行政（银）奖章（军事）
The Public Service Medal	公共服务奖章
The Public Service Star	公共服务星章
The Public Service Star (Bar)	公共服务星章（勋条）
The Rail Corridor Trail: Our Journey Together Through the Power of Friendship	铁道走廊路径：并肩而行，凝聚友情
The Regional Cooperation Agreement on Combating Piracy and Armed Robbery against Ships in Asia (ReCAAP)	区域打击海盗合作协定
The Salvation Army, Gracehaven	救世军恩典之家(Gracehaven)
The Salvation Army, Haven	救世军恩典之家(Haven)
The Seniors Helpline (TSH)	乐龄援助热线
The Serangoon Community Club	实龙岗民众俱乐部
The Shunde Worldwide Friendship Association	世界顺德联谊总会
The Singapore Cabinet	新加坡政府内阁
The Song Heng Association	琼崖重兴同乡会
The Specialist Diploma in Arts Education	艺术教育专科文凭
The Star of Temasek	淡马锡之星勋章
The Straits Times School Pocket Money Fund	《海峡时报》学校零用钱基金
The Substation	电力站
The TENT (Teenagers Experience New Truth)	“帐篷”少女改造所
The Teo Ann Tang Hong District Tan Clan Association	潮安东风陈氏同乡会
The Tripartite Technical Experts Group (TTEG)	三方海上安全技术专家组
The World Ann Kway Convention	世界安溪乡亲联谊会
The World Convention of Ma Clan Associations	世界马氏宗亲恳亲大会
The World Eng Choon Association	世界永春社团联谊会
The World Federation of Nan An Clansmen	世界南安同乡联谊会
The World Federation of Teh Clan	世界戴氏宗亲总会
The World Feng Shun Convention	世界丰顺同乡联谊会
The World Fujian Fellowship Conference	世界福建同乡恳亲大会
The World Guangdong Community Federation	世界广东同乡联谊会
The World Guangxi Association	世界广西同乡联谊会
The World Hakka Convention	世界客属恳亲大会
The World Huang Family Association	世界黄氏宗亲总会
The World Kho Family Association	世界许氏宗亲总会
The World Lin's Association	世界林氏恳亲总会
The World Liu Kwee Convention	世界六桂宗亲恳亲大会
The World-Wide Peng Clansman's Association	世界彭氏宗亲联谊会
The Wui Chiu International Convention	世界惠州同乡恳亲大会
Theatre-in-Education Programme	剧场艺术教育计划
Theng Chuan Ngau Thau Koo Kay Tan Clan Association	颖川鳌头旧家同乡会
Theng Hai Huay Kuan	澄海会馆
Theng-Hai District Her Chiew Village Chua Clan Association	澄海渔洲蔡氏同乡会
Thermal Imaging Camera	热能感应摄相机
THIAM SIEW AVENUE	添寿道
THIRD AVENUE	第3道
THIRD CHIN BEE ROAD	第3振美路
THIRD LOK YANG ROAD	第3洛阳路
Third Party Exclusion Order	第三方禁门令
Third Rail Replacement	更换供电的第三轨
Third Reading	三读
THIRD STREET	第3街
Third-Party Taxi Booking Apps	第三方德士预召应用程序
Third-Party Taxi Booking Service Providers Bill	第三方德士预召应用软件业者法案
THOMSON CLOSE	汤申弄
Thomson Community Club	汤申民众俱乐部
THOMSON FLYOVER	汤申立交桥
THOMSON GREEN	汤申埔
THOMSON HEIGHTS	汤申岭
THOMSON HILL	汤申山
THOMSON HILLS DRIVE	汤申山通道
THOMSON LANE	汤申巷
THOMSON RIDGE	汤申岗
THOMSON ROAD	汤申路
THOMSON TERRACE	汤申台
THOMSON VIEW	汤申景
THOMSON WALK	汤申径
Thomson-East Coast Line (TEL)	汤申-东海岸地铁线
THONG BEE ROAD	通美路
THONG SOON AVENUE	通顺道
THONG SOON GREEN	通顺埔
THONG SOON ROAD	通顺路
Threat Containment Vessel	高危险物品存放容器
Threat Image Projection System (TIPS)	高威胁影象投影系统
Threat-Oriented Passenger Screening Integrated System (TOPSIS)	侦辨潜在危险乘客综合系统
Three-Generation flats (3Gen flats)	三代同堂组屋
THRIFT DRIVE	俭约通道
Thye Hua Kwan Family Service Centre @ Bedok North	太和观家庭服务中心@勿洛北
Thye Hua Kwan Family Service Centre @ Bukit Panjang	太和观家庭服务中心@武吉班让
Thye Hua Kwan Family Service Centre @ MacPherson	太和观家庭服务中心@麦波申
Thye Hua Kwan Family Service Centre @ Tanjong Pagar	太和观家庭服务中心@丹戎巴葛
Tiang Lim Association	星洲长林公会
Tianjin Eco-city Assistance Programme (TAP)	天津生态城援助计划
Tin Pei Ling	陈佩玲
Tiong Bahru Community Centre	中峇鲁民众联络所
Tiong Bahru Heritage Trail	中峇鲁历史走道
Tiong Bahru MRT Station	中峇鲁地铁站
TIONG BAHRU ROAD	中峇鲁路
TIONG POH ROAD	忠坡路
Titles of a Bill	法案名称
T-Net Advisory Council	联系少年咨询理事会
T-Net Management Committee	联系少年俱乐部管理委员会
